Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
gorngv fei,verb,to recite a type of Mien poem in Chinese,réciter un poème Mien en chinois,ท่องบทกวีเมี่ยนเป็นภาษาจีน,,ທ່ອງບົດກະວີມ້ຽນເປັນພາສາຈີນ,,ngâm thơ Miền bằng tiếng Hoa,用汉话念勉诗,yòng hàn huà niàn miǎn shī,jung6 hon3 waa6 nim6 min5 si1,,,,,,,,,,
gorngv gouv,noun,storytelling,narration,การเล่าเรื่อง,,ການເລົ່າເລື່ອງ,,kể chuyện,讲故事,jiǎng gùshi,gong2 gu3 si6,,,,,,,,,,
gorngv ih-ziev,noun,telling of the reasons of a ceremony,explication rituelle,การบอกเหตุพิธี,,ການບອກເຫດພິທີ,,giải thích nghi lễ,说明仪式原因,shuōmíng yíshì yuányīn,soeng1 ming4 ji4 sik1 jyun4 jan1,,,,,,,,,,
gorngv sic,verb,to discuss a problem between two or more parties,discuter un différend,เจรจาปัญหา,,ຫາລືບັນຫາ,,bàn bạc tranh chấp,协商问题,xiéshāng wèntí,hip3 soeng1 man6 tai4,,,,,,,,,,
gorngv sieqv,verb,to discuss with the girl's parents for possible marriage,discuter mariage avec parents,เจรจาสู่ขอ,,ສູ່ຂໍ,,thương lượng cưới hỏi,与女方父母商谈婚事,yǔ nǚfāng fùmǔ shāngtán hūnshì,jyu5 neoi5 fong1 fu6 mou5 soeng1 taam4 fan1 si6,,,,,,,,,,
gorngv waac,verb,to speak,parler,พูด,,ເວົ້າ,,nói,说,shuō,syut3,,,,,,,,,,
gorngv waac,verb,to talk,parler,พูด,,ເວົ້າ,,nói,说话,shuō huà,syut3 waa6,,,,,,,,,,
gorngv waac,verb,to converse,converser,คุยกัน,,ຄຸยກັນ,,đàm luận,談話,tánhuà,taam4 waa6,,,,,,,,,,
gorngv-auv,verb,to discuss the girl's parents for possible marriage,parler mariage avec les parents,คุยกับพ่อแม่ฝ่ายหญิง,,ຄຸຍກັບພໍ່ແມ່ຝ່າຍຍິງ,,thưa chuyện hôn nhân,谈亲事,tán qīnshì,taam4 can1 si6,,,,,,,,,,
gorngv-baeqc,adjective,adjective,adjectif,คำคุณศัพท์,,ຄຳຄຸນນາມ,,tính từ,形容词,xíngróngcí,jing4 jung4 ci4,,,,,,,,,,
gorngv-baeqc,verb,to lie,mentir,โกหก,,ໂກຫຼກ,,nói dối,说谎,shuōhuǎng,syut3 fong2,,,,,,,,,,
gorngv-baeqc ga'naaiv,noun,liar,menteur,คนโกหก,,ຄົນຕົວະ,,kẻ nói dối,说谎者,shuōhuǎng zhě,syut3 fong2 ze2,,,,,,,,,,
gorngv-baeqc hungh,noun,big liar,grand menteur,คนโกหกเก่ง,,ຄົນໂກຫກເກັງ,,kẻ nói dối lớn,大骗子,dà piànzi,daai6 pin3 zi2,,,,,,,,,,
gorngv-beu-ping,noun,turban wound straight in circular roll,turban enroulé droit,ผ้าโพกหัวแบบตรง,,ຜ້າພັນຫົວແບບຊື່,,khăn quấn thẳng,直繞頭巾,zhí rào tóu jīn,zik6 jiu5 tau4 gan1,,,,,,,,,,
gorngv-taux,preposition,about,environ,ประมาณ,,ປະມານ,,khoảng,大约,dàyuē,daai6 joek3,,,,,,,,,,
gorngv-waac mienh,noun,speaker,haut-parleur,ลำโพง,,ລຳໂພງ,,loa,揚聲器,yángshēngqì,joeng4 sing1 hei3,,,,,,,,,,
gorngv-waac mienh,noun,boyfriend,petit ami,แฟนชาย,,ແຟນຊາຍ,,bạn trai,男朋友,nán péngyǒu,naam4 pang4 jau5,,,,,,,,,,
gorngv-waac mienh,noun,girlfriend,petite amie,แฟนสาว,,ແຟນສາວ,,bạn gái,女朋友,nǚ péng you,neoi5 pang4 jau5,,,,,,,,,,
gorngx,verb,to beat,battre,เฆี่ยน,,ຂ້ຽນ,,quất,鞭打,biāndǎ,bin1 daa2,,,,,,,,,,
gorngx,verb,to hit,frapper,ตี,,ຕີ,,đánh,打,dǎ,daa2,,,,,,,,,,
gorngx,noun,male fowl,coq,ไก่ตัวผู้,,ໄກ່ຜູ້,,gà trống,公鸡,gōngjī,gung1 gai1,,,,,,,,,,
gorngx,verb,to possess,posséder,ครอบครอง,,ຄອບຄອງ,,sở hữu,擁有,yōng yǒu,jung2 jau5,,,,,,,,,,
gorn-ndoqv,noun,detail,détail,รายละเอียด,,ລາຍລະອຽດ,,chi tiết,细节,xìjié,sai3 zit3,,,,,,,,,,
gorn-zaangc,noun,origin,origine,ต้นกำเนิด,,ຕົ້ນກຳເນີດ,,nguồn gốc,起源,qǐyuán,hei2 jyun4,,,,,,,,,,
gorqc-jaang,verb,to realize,se rendre compte,ตระหนัก,,ຕະໜັກ,,nhận ra,意识到/明白,yì shí dào/míng bai,ji3 sik1 dou3/ming4 baak6,,,,,,,,,,
gorqv,noun,corner,coin,มุม,,ມຸມ,,góc,角落,jiǎoluò,gok3 lok6,,,,,,,,,,
gorqv,adjective,stuck,coincé,ติด,,ຕິດ,,mắc kẹt,卡住,kǎ zhù,kaa1 zyu6,,,,,,,,,,
gorqv,verb,to cup,former une coupe,ทำมือเป็นรูปถ้วย,,ທຳມືເປັນຮູບຖ້ວຍ,,khum tay,捧,pěng,pung2,,,,,,,,,,
gorqv,verb,to enclose,enfermer,ล้อมรั้ว,,ລ້ອມຮົ້ວ,,bao quanh,圍繞,wéirào,wai4 jiu5,,,,,,,,,,
gorqv,verb,to stick,coller/adhérer,ติด,,ຕິດ,,dán/dính,粘/贴,zhān/tiē,zin1/tip3,,,,,,,,,,
gorqv,adjective,each,chaque,แต่ละ,,ແຕ່ລະ,,mỗi,每,měi,mui5,,,,,,,,,,
gorqv-mienh,pronoun,each person,chaque personne,แต่ละคน,,ແຕ່ລະຄົນ,,mỗi người,每人,měi rén,mui5 jan4,,,,,,,,,,
gorqv-zeic,adjective,personal,personnel,ส่วนตัว,,ສ່ວນຕົວ,,cá nhân,个人的,gèrén de,go3 jan4 dik1,,,,,,,,,,
gorqv-zeic,adjective,private,privé,ส่วนตัว,,ສ່ວນຕົວ,,riêng tư,私人的,sīrén de,si1 jan4 dik1,,,,,,,,,,
gorqv-zeic muih,noun,separate individual placentas,séparer,แยกจากกัน,,ແຍກອອກຈາກກັນ,,tách rời,分离,fēnlí,fan1 lei4,,,,,,,,,,
gorx,noun,person,persidemment,อย่างแน่วแน่,,ຢ່າງແນ່ວແນ່,,một cách kiên trì,持久地,chíjiǔ de,ci4 gau2 dei6,,,,,,,,Literary,Chinese,
gorx,noun,polite term of address for male stranger older than oneself,terme poli pour un homme inconnu,คำสุภาพสำหรับเรียกชายแปลกหน้า,,ຄຳສຸພາບສຳລັບເອີ້ນຊາຍແປກໜ້າ,,thuật ngữ lịch sự cho người nam lạ,对男性陌生人的礼貌称呼,duì nánxìng mòshēngrén de lǐmào chēnghu,deoi3 naam4 sing3 mak6 sang1 jan4 dik1 lai5 maau6 cing1 fu1,,,,,,,,,,
gorx,noun,individual,individu,รายบุคคล,,ລາຍບຸກຄົນ,,cá nhân,个人,gè rén,go3 jan4,,,,,,,,Literary,Chinese,
gorx,noun,brother,frère,พี่ชาย/น้องชาย,,ອ້າຍ/ນ້ອງ,,em trai / anh trai,兄弟,xiōng dì,hing1 dai6,,,,,,,,,,
gorx,noun,older brother,frère aîné,พี่ชาย,,ອ້າຍ,,anh cả,长兄,zhǎngxiōng,zoeng2 hing1,,,,,,,,,,
gorx,noun,father,père,เตี่ย,,ເຕ້ຍ,,bố,老子,lǎo zi,lou5 zi2,Children use this term when the grandfather still lives in the home.,Les enfants utilisent ce terme lorsque le grand-père vit toujours à la maison.,เด็ก ๆ ใช้คำนี้เมื่อคุณปู่หรือคุณตายังอาศัยอยู่ในบ้าน,เด็กໆ ໃຊ້ຄຳນີ້ເມື່ອປູ່ ຫຼື ຕາ ຍັງອາໄສຢູ່ໃນເຮືອນ,Trẻ em sử dụng thuật ngữ này khi ông vẫn còn sống trong nhà,孩子在祖父仍住在家里时使用该称呼,,,,
gorx-youz-muoc-dorc,noun,brothers and sisters,fratrie,พี่น้อง,,ພີ່ນ້ອງ,,anh chị em,兄弟姐妹,xiōngdì jiěmèi,hing1 dai6 ze2 mui6,,,,,,,,,,
gorz,adjective,stout,costaud,ล่ำสัน,,ລ້ຳສັນ,,vạm vỡ,矮壮的,ǎizhuàng de,ai2 zong3 dik1,,,,,,,,,,
gou,noun,kinship term for father's older sister,terme de parenté (tante paternelle),คำเรียกพี่สาวของพ่อ,,ຄຳຮຽກເອື້ອຍຂອງພໍ່,,thuật ngữ xưng hô cô/bác,对姑母的亲属称谓,duì gū mǔ de qīn shǔ chēng wèi,deoi3 gu1 mou5 dik1 can1 suk6 cing1 wai6,,,,,,,,,,
gou-gux,noun,kinship term for parent's grandmother,terme de parenté (arrière-grand-mère),คำเรียกย่าทวด/ยายทวด,,ຄຳຮຽກຍ່າທວດ/ຍາຍທວດ,,thuật ngữ xưng hô bà cố,对曾祖母的亲属称谓,duì zēng zǔ mǔ de qīn shǔ chēng wèi,deoi3 zang1 zou2 mou5 dik1 can1 suk6 cing1 wai6,,,,,,,,,,
gou-maac,noun,kinship term for father or father-in-law's older sister,terme de parenté (père),คำเรียกพ่อหรือพ่อตา,,ຄຳຮຽກພໍ່ ຫຼື ພໍ່ຕາ,,thuật ngữ xưng hô cha,对父亲或岳父的亲属称谓,duì fù qīn huò yuè fù de qīn shǔ chēng wèi,deoi3 fu6 can1 waak6 ngok6 fu6 dik1 can1 suk6 cing1 wai6,,,,,,,,,,
gou-miangh doic,noun,sisters-in-law,belles-sœurs,พี่สะใภ้/น้องสะใภ้,,ເອື້ອຍໃພ້/ນ້ອງໃພ້,,chị em dâu,妯娌,zhóulǐ,zuk6 lei5,,,,,,,,,,
gouv,verb,to guess,deviner,เดา,,ເດົາ,,đoán,猜,cāi,caai1,,,,,,,,,,
gouv,noun,legend,légende,ตำนาน,,ນິທານ,,truyền thuyết,传说,chuánshuō,cyun4 syut3,,,,,,,,,,
gouv,verb,to estimate,estimer,ประเมิน,,ປະເມີນ,,đánh giá,估算,gūsuàn,gu1 syun3,,,,,,,,,,
gouv,noun,story,histoire,เรื่องราว,,ເລື່ອງລາວ,,câu chuyện,故事,gùshi,gu3 si6,,,,,,,,,,
gouv,noun,tale,conte,นิทาน,,ນິທານ,,truyện,故事,gùshì,gu3 si6,,,,,,,,,,
gouv,noun,male,mâle,ตัวผู้,,ຕົວຜູ້,,đực,雄,xióng,hung4,,,,,,,,,,
gouv,classifier,gouv,gouv,ส่วน,,ສ່ວນ,,phần,部分,bùfèn,bou6fan6,"Classifier for part, portion, percentage, or strand.","Classificateur pour partie, portion, pourcentage ou brin.",ลักษณนามสำหรับส่วน เปอร์เซ็นต์ หรือเส้น,ລັກສະນະນາມສໍາລັບສ່ວນ,"bộ phân loại cho phần, tỷ lệ hoặc sợi",表示部分、比例或股的量词,,,,
gouv nyeih,verb,to suppose,supposer,สมมติ,,ສົມມຸດ,,giả sử,假设,jiǎ shè,gaa2 cit3,,,,,,,,Literary,,
gouv nyeih,verb,to guess at,deviner approximativement,เดาเอา,,ເດົາເອົາ,,đoán mò,估计,gūjì,gu2 gei3,,,,,,,,Literary,,
gouv nyeih,verb,to surmise,conjecturer,คาดการณ์,,ຄາດການ,,phỏng đoán,推测,tuī cè,teoi1 cak1,,,,,,,,Literary,,
gouv-mueic,verb,to eyeball guesstimate,extorquer,กรรโชก,,ກັນໂຊກ,,tống tiền,勒索,lè suǒ,lak6 sok3,,,,,,,,,,
gouv-nyinh,noun,old tradition,tradition ancienne,ธรรมเนียมเก่า,,ປະເພນີເກົ່າ,,truyền thống cũ,旧传统,jiù chuántǒng,gau6 cyun4 tung2,,,,,,,,Literary,,
gouv-nyinh,noun,old custom,ancienne coutume,ประเพณีเก่า,,ປະເພນີເກົ່າ,,tập tục cũ,旧俗,jiùsú,gau6 zuk6,,,,,,,,Literary,,
goux,verb,to care for,s’occuper de,ดูแล,,ເບິ່ງແຍງ,,chăm sóc,照顾,zhàogù,ziu3 gu3,,,,,,,,,,
goux,verb,to take care of,prendre soin de,ดูแล,,ດູແລ,,chăm sóc,照顾,zhào gù,ziu3 gu3,,,,,,,,,,
goux,verb,to look after,s'occuper de,ดูแล,,ດູແລ,,chăm sóc,照料,zhào liào,ziu3 liu6,,,,,,,,,,
goux,verb,to tend,soigner/s'occuper de,ดูแล/เอาใจใส่,,ດູແລ,,chăm sóc/trông nom,照料,zhào liào,ziu3 liu6,,,,,,,,,,
gox,verb,to report,rapporter,รายงาน,,ລາຍງານ,,báo cáo,报告,bàogào,bou3 gou3,,,,,,,,,,
gox,verb,to accuse,accuser,กล่าวหา,,ກ່າວຫາ,,tố cáo,指控,zhǐkòng,zi2 hung3,,,,,,,,,,
gox-zongc,verb,to report someone to the authority,dénoncer,แจ้งทางการ,,ແຈ້ງທາງການ,,tố cáo,举报,jǔbào,geoi2 bou3,,,,,,,,,,
gox-zongc sou,noun,document filing complaint,document de plainte,เอกสารร้องเรียน,,ເອກະສານຮ້ອງທຸກ,,đơn khiếu nại,投诉文件,tóusù wénjiàn,tou4 sou3 man4 gin6,,,,,,,,,,
guaa,noun,melon,melon,แตง,,ແຕງ,,dưa,瓜,guā,gwaa1,,,,,,,,,,
guaa,noun,cucumber,concombre,แตงกวา,,ແຕງກວາ,,dưa leo,黄瓜,huángguā,wong4 gwaa1,,,,,,,,,,
guaa-ben,noun,type of muskmelon,type de melon,เมลอนชนิดหนึ่ง,,ໝາກແຕງຊະນິດໜຶ່ງ,,loại dưa thơm,甜瓜類,tián guā lèi,tim4 gwa1 leoi6,,,,,,,,,,
guaa-ben-baeqc,noun,honeydew melon,melon,เมล่อน,,ເມລອນ,,dưa lưới,哈密瓜,hā mì guā,haa1 mat6 gwaa1,,,,,,,,,,
guaa-ben-ndaang,noun,striped melon with fragrant smell,melon rayé à l'odeur parfumée,แตงลายมีกลิ่นหอม,,ໝາກໂມລາຍມີກິ່ນຫອມ,,dưa vằn có mùi thơm,香纹瓜,xiāng wén guā,hoeng1 man4 gwaa1,,,,,,,,,,
guaa-ben-saaiv,noun,cantaloupe,cantaloup,แคนตาลูป,,ແຄນຕາລູບ,,dưa lưới,哈密瓜,hāmì guā,haa1 mat6 gwaa1,,,,,,,,,,
guaa-ben-yangh,noun,type of yellow striped melon,type de melon jaune rayé,แตงลายเหลืองชนิดหนึ่ง,,ແຕງລາຍເຫຼືອງຊະນິດໜຶ່ງ,,một loại dưa vàng sọc,一种黄条纹瓜,yì zhǒng huáng tiáowén guā,jat1 zung2 wong4 tiu4 man4 gwaa1,,,,,,,,,,
guaa-domx,noun,watermelon,pastèque,แตงโม,,ໝາກໂມ,,dưa hấu,西瓜,xī guā,sai1 gwa1,,,,,,,,,,
guaaic,adjective,striped,rayé,ลาย,,ລາຍ,,vằn,带条纹的,dài tiáo wén de,daai3 tiu4 man4 dik1,,,,,,,,,,
guaaih,verb,to scrape,gratter,ขูด,,ຂູດ,,cạo,刮,guā,gwaat3,,,,,,,,,,
guaaiv,verb,to abduct,enlever,ลักพาตัว,,ລັກພາຕົວ,,bắt cóc,绑架,bǎngjià,bong2 gaa3,,,,,,,,,,
guaaiv,verb,to kidnap,enlever,ลักพาตัว,,ລັກພາຕົວ,,bắt cóc,綁架,bǎng jià,bong2 gaa3,,,,,,,,,,
guaaiv,verb,to elope,s'enfuir avec son amant,หนีตามกันไป,,ໜີຕາມກັນໄປ,,bỏ trốn theo nhau,私奔,sībēn,si1 ban1,,,,,,,,,,
guaaiv-pienx,verb,to abduct,enlever,ลักพาตัว,,ລັກພາຕົວ,,bắt cóc,绑架,bǎngjià,bong2 gaa3,,,,,,,,Literary,,
guaaiv-pienx,verb,to kidnap,enlever,ฉุด,,ສຸດ,,bắt đi,劫持,jié chí,gip3 ci4,,,,,,,,Literary,,
guaan,noun,corona,corona,โคโรนา,,ໂຄໂຣນາ,,corona,日冕,rìmiǎn,jat6 min5,,,,,,,,,,
guaan,verb,to invite to ceremony,inviter à une cérémonie,เชิญไปร่วมพิธี,,ເຊີນໄປຮ່ວມພິທີ,,mời dự lễ,邀約,yāo yuē,jiu1 joek3,,,,,,,,,,
guaan,noun,ring,bague,แหวน,,ແຫວນ,,nhẫn,戒指,jièzhǐ,gaai3 zi2,,,,,,,,,,
guaan cing-jaa,verb,to invite guests to wedding,inviter au mariage,เชิญแขกไปงานแต่ง,,ເຊີນແຂກໄປງານແຕ່ງ,,mời đám cưới,請酒,qǐng jiǔ,cing2 zau2,,,,,,,,,,
guaan lui,verb,to stich pompom on Mien woman's coat,coudre un pompon,เย็บพู่ประดับปกเสื้อผู้หญิงเมี่ยน,,ເຍັບພູ່ປະດັບປົກເສື້ອແມ່ຍິງມ້ຽນ,,khâu quả bông lên cổ áo phụ nữ Miền,在勉族女装领口缝绒球,zài miǎn zú nǚ zhuāng lǐng kǒu féng róng qiú,zoi6 min5 zuk6 neoi5 zong1 ling5 hau2 fung4 jung4 kau4,,,,,,,,,,
guaan mienv,verb,to invite spirits to ceremony,inviter les esprits,เชิญวิญญาณมาร่วมพิธี,,ເຊີນວິນຍານມາຮ່ວມພິທີ,,mời vong linh,請神,qǐng shén,cing2 san4,,,,,,,,,,
guaan-langh,verb,to collect uncooked rice for spirit ceremony,recueillir du riz cru rituel,เก็บข้าวสารทำพิธีผี,,ເກັບເຂົ້າສານພິທີຜີ,,thu gạo cúng,收生米祭祀,shōu shēngmǐ jìsì,sau1 sang1 mai5 zai3 zi6,,,,,,,,,,
guaa-nzauh,noun,matured cucumber has turned yellow,concombre mûri jauni,แตงกวาแก่เหลือง,,ແຕງແກ່ເຫຼືອງ,,dưa chuột già vàng,老黄瓜,lǎo huángguā,lou5 wong4 gwaa1,,,,,,,,,,
guaatv,verb,to sweep away with force,balayer avec force,กวาดออกไปอย่างแรง,,ກວາດອອກໄປຢ່າງແຮງ,,quét sạch bằng lực mạnh,用力扫除,yòng lì sǎo chú,jung6 lik6 sou3 ceoi4,,,,,,,,,,
guaatv,verb,to level,niveler,ปรับระดับ,,ປັບລະດັບ,,san bằng,弄平,nòngpíng,nung6 ping4,,,,,,,,,,
guaav,adjective,lacking,manquant,ขาด,,—,,thiếu,缺乏,quēfá,kyut3 fat6,,,,,,,,,,
guaav,adjective,bare,nu,เปลือย,,ເປືອຍ,,trần,裸露的,luǒlù dik1,lo5 lou6 dik1,,,,,,,,,,
guaav-fou,noun,widower,veuf,พ่อหม้าย,,ພໍ່ໝ້າຍ,,góa vợ,鳏夫,guānfū,gwaan1 fu1,,,,,,,,,,
guaax,verb,to hang up,raccrocher / suspendre,วางสาย/แขวน,,ວາງສາຍ/ແຂວນ,,gác máy,挂断,guàduàn,gwaa3 dyun6,,,,,,,,,,
guaax,adjective,concerned about,inquiet pour,เป็นห่วงเกี่ยวกับ,,ເປັນຫ່ວງກ່ຽວກັບ,,quan tâm về,关心,guānxīn,gwaan1 sam1,,,,,,,,,,
guaax,verb,to perform ordination,ordonner,ทำพิธีบวช,,ເຮັດພິທີບວດ,,làm lễ thụ giới,授戒,shòu jiè,sau6 gaai3,,,,,,,,,,
guaax,noun,divination,divination,การทำนาย,,ການທຳນາຍ,,bói toán,占卜,zhānbǔ,zim1 buk1,,,,,,,,,,
guaax,verb,to register,s'inscrire,ลงทะเบียน,,ລົງທະບຽນ,,đăng ký,注册,zhù cè,zyu3 caak3,,,,,,,,Literary,,
guaax,classifier,guaax,guaax,ดวง,,ດວງ,,ngọn,盏,zhǎn,zaan2,Classifier for fires or burning torches.,Classificateur pour feux ou torches enflammées.,ลักษณนามสำหรับไฟหรือคบเพลิงที่ลุกไหม้,ລັກສະນະນາມສໍາລັບໄຟ ຫຼືຄົບໄຟ,bộ phân loại cho lửa hoặc đuốc cháy,表示火或火把的量词,,Literary,,
guaax cietv-fing dang,verb,to perform seven-lamp candelabra Taoist ordination,faire le rituel des sept lampes,ทำพิธีตะเกียงเจ็ดดวง,,ເຮັດພິທີຕະກຽງເຈັດດວງ,,làm lễ thắp bảy đèn,拜七星,bài qī xīng,baai3 cat1 sing1,,,,,,,,,,
guaax hnyouv,adjective,worried,préoccupé,วิตกกังวล,,ວິຕົກກັງວົນ,,lo âu,發愁,fā chóu,faat3 sau4,,,,,,,,,,
guaax-dang,noun,Taoist ordination,ordination taoïste,การบวชเต๋า,,ການບວດເຕົ່າ,,lễ thụ phong Đạo giáo,道教受箓,Dàojiào shòulù,dou6 gaau3 sau6 luk6,,,,,,,,,,
guaax-dang dorn,noun,minor divination,divination mineure,การทำนายย่อย,,ການທຳນາຍນ້ອຍ,,bói nhỏ,小占,xiǎo zhān,siu2 zim1,,,,,,,,,,
guaengv,noun,handle,poignée,ที่จับ,,ທີ່ຈັບ,,tay cầm,把手,bǎ shǒu,baa2 sau2,,,,,,,,,,
guaengv,noun,stalk,tige,ก้าน,,ກ້ານ,,cuống,茎,jīng,ging1,,,,,,,,,,
guaengx,verb,to toss,jeter,โยน,,ໂຍນ,,ném,扔,rēng,wing1,,,,,,,,,,
guaeqv,verb,to throw (long object) sidearm at something with spinning motion,lancer (objet long) de côté,ขว้าง (วัตถุยาว) ไปที่เป้าหมาย,,ຂວ້າງສິ່ງຂອງໄປທີ່ເປົ້າໝາຍ,,phi (vật dài) vào mục tiêu,侧向投掷(长物),cè xiàng tóu zhì,zak1 hoeng3 tau4 zak6,,,,,,,,,,
guai,verb,to stop crying and behave,cesser de pleurer et se tenir bien,หยุดร้องแล้วประพฤติดี,,ຢຸດຮ້ອງແລ້ວປະພຶດດີ,,ngừng khóc và ngoan,别哭了守规矩,bié kū le shǒu guījǔ,bit6 huk1 liu5 sau2 gwai1 geoi2,,,,,,,,,,
guai,adjective,clever,intelligent,ฉลาด,,ສະຫຼາດ,,thông minh,聪明,cōngming,cung1 ming4,,,,,,,,,,
guai,adjective,intelligent,intelligent,ฉลาด,,ສະຫຼາດ,,thông minh,聪明,cōngmíng,cung1 ming4,,,,,,,,,,
guai,adjective,smart,intelligent,ฉลาด,,ສະຫຼາດ,,thông minh,聪明,cōngmíng,cung1 ming4,,,,,,,,,,
guai,adjective,shrewd,astucieux,เจ้าเล่ห์,,ເຈົ້າເລ່ຫ໌,,xảo quyệt,狡猾,jiǎohuá,gaau2 waat6,,,,,,,,,,
guai,adjective,wise,avisé,รอบรู้,,ຮອບຮູ້,,sáng suốt,賢明的,xián míng de,jin4 ming4 dik1,,,,,,,,,,
guai,adjective,educated,instruit,มีการศึกษา,,ມີການສຶກສາ,,được giáo dục,受过教育的,shòu guò jiào yù de,sau6 gwo3 gaau3 juk6 dik1,,,,,,,,,,
guai-gorqv fin-saeng,noun,guru,gourou,คุรุ,,ຄຸຣຸ,,bậc thầy,大师,dà shī,daai6 si1,,,,,,,,,,
guai-gorqv fin-saeng,noun,sage,sage,ปราชญ์,,ນັກປາດ,,hiền nhân,圣人,shèngrén,sing3 jan4,,,,,,,,,,
guaih,adverb,casually,décontracté,อย่างสบายๆ,,ຢ່າງສະບາຍ,,một cách thoải mái,随意地,suíyì de,ceoi4 ji6 dei6,,,,,,,,,,
guaih longc,verb,to use without much concern,utiliser sans grande précaution,ใช้โดยไม่ค่อยระมัดระวัง,,ໃຊ້ໂດຍບໍ່ຄ່ອຍລະວັງ,,dùng mà không quan tâm,随便用,suí biàn yòng,ceoi4 bin2 jung6,,,,,,,,,,
guaih longc,verb,to accept without much care,accepter sans trop y penser,รับไปแบบไม่ใส่ใจ,,ຮັບແບບບໍ່ໃສ່ໃຈ,,nhận cho qua,随便接受,suíbiàn jiēshòu,ceoi4 bin6 zip3 sau6,,,,,,,,,,
guaih nyanc,verb,to eat casually not concerning the taste,manger informellement,กินเล่น,,ກິນຫຼິ້ນ,,ăn vặt,隨便吃,suíbiàn chī,ceoi4 bin6 hek1,,,,,,,,,,
guaiv,noun,evil,sinistre,อัปมงคล,,ອັບມົງຄຸນ,,tai hại,凶,xiōng,hung1,,,,,,,,,,
guaix,noun,inauspicious,peu propice,เป็นลางไม่ดี,,ເປັນລางບໍ່ດີ,,không lành,不吉利,bù jí lì,bat1 gat1 lei6,,,,,,,,,,
guaix,verb,unnatural,non naturel,ผิดธรรมชาติ,,ຜິດທຳມະຊາດ,,bất thường,不自然,bù zì rán,bat1 zi6 jin4,,,,,,,,,,
guaix,noun,bad omen,mauvais présage,ลางร้าย,,ລາງຮ້າຍ,,điềm xấu,凶兆,xiōngzhào,hung1 ziu6,,,,,,,,,,
guaix,adjective,strange,étrange,แปลก,,ແປກ,,lạ,奇怪的,qíguài de,kei4 gwaai3 dik1,,,,,,,,,,
guaix,verb,to complain about,se plaindre de,บ่นเรื่อง,,ບົ່ນເລື່ອງ,,phàn nàn về,抱怨,bàoyuàn,pou5 jyun3,,,,,,,,,,
guaix,verb,to blame,blâmer,ตำหนิ,,ຕຳໜິ,,khiển trách,責怪,zéguài,zaak3 gwaai3,,,,,,,,,,
guaix,adjective,to accuse,accuser,กล่าวหา,,ກ່າວຫາ,,tố cáo,指控,zhǐkòng,zi2 hung3,,,,,,,,,,
guaix faac,adjective,because of,à cause de,เนื่องจาก,,ເນື່ອງຈາກ,,do bởi,由于,yóuyú,jau4 jyu1,,,,,,,,,Chinese,
guangc,verb,to cancel,annuler,ยกเลิก,,ຍົກເລີກ,,hủy bỏ,取消,qǔxiāo,ceoi2 siu1,,,,,,,,,,
guangc,verb,to discard,jeter / abandonner,ทิ้ง,,ຖິ້ມ,,vứt bỏ,丢弃,diūqì,diu1 hei3,,,,,,,,,,
guangc,verb,to throw away,jeter,ทิ้ง,,ຖິ້ມ,,vứt đi,扔掉,rēng diào,jing6 diu6,,,,,,,,,,
guangc,verb,to forgive,pardonner,ให้อภัย,,ໃຫ້ອະໄພ,,tha thứ,原谅,yuánliàng,jyun4 loeng6,,,,,,,,,,
guangc,verb,to abandon,abandonner,ละทิ้ง,,ຖິ້ມ,,bỏ rơi,抛弃,pāoqì,paau1 hei3,,,,,,,,,,
guangc auv,verb,to divorce wife,divorcer l’épouse,หย่าเมีย,,ຢ່າເມຍ,,ly dị vợ,与妻离婚,yǔ qī líhūn,jyu5 cai1 lei4 fan1,,,,,,,,,,
guangc nqoi,verb,to let it go,lâcher prise,ปล่อยวาง,,ປ່ອຍວາງ,,buông bỏ,放手,fàngshǒu,fong3 sau2,,,,,,,,,,
guangc nqoi,verb,to throw away,jeter,ทิ้ง,,ຖິ້ມ,,vứt đi,扔掉,rēng diào,jing6 diu6,,,,,,,,,,
guangc nqoi,verb,to forgive,pardonner,ให้อภัย,,ໃຫ້ອະໄພ,,tha thứ,原谅,yuánliàng,jyun4 loeng6,,,,,,,,,,
guangc nqox,verb,to divorce husband,divorcer le mari,หย่าสามี,,ຢ່າຜົວ,,ly dị chồng,与夫离婚,yǔ fū líhūn,jyu5 fu1 lei4 fan1,,,,,,,,,,
guangc nyorx,verb,to wean,sevrer,หย่านม,,ຢ່ານົມ,,cai sữa,断奶,duàn nǎi,dyun3 naai5,,,,,,,,,,
guangc zuiz,verb,to pardon,pardonner,ให้อภัย,,ອະໄພຍ,,tha thứ,宽恕,kuānshù,fun1 syu3,,,,,,,,,,
guangx,adjective,"to be bent down at the ends (of long, thin, flexible things)",être courbé aux extrémités,ปลายงอน,,ປາຍງອນ,,bị cong ở đầu,末端彎曲,mòduān wānqū,mut6 dyun1 waan1 kuk1,,,,,,,,,,
